row_id,engagement_score
89198,4.138
89199,3.372
89200,2.763
89201,4.12
89202,1.611
89203,3.231
89204,3.791
89205,4.118
89206,2.776
89207,3.964
89208,3.884
89209,4.16
89210,3.514
89211,4.359
89212,3.4
89213,3.324
89214,2.406
89215,3.82
89216,3.676
89217,2.889
89218,4.21
89219,2.762
89220,2.604
89221,3.232
89222,3.613
89223,4.328
89224,3.579
89225,3.475
89226,3.499
89227,3.39
89228,3.571
89229,2.806
89230,2.267
89231,3.565
89232,3.651
89233,3.442
89234,3.426
89235,3.912
89236,3.001
89237,4.139
89238,3.383
89239,3.677
89240,3.846
89241,4.164
89242,4.191
89243,4.387
89244,3.924
89245,3.778
89246,3.489
89247,2.106
89248,3.94
89249,2.494
89250,4.168
89251,2.943
89252,3.888
89253,2.576
89254,2.865
89255,2.786
89256,2.994
89257,3.707
89258,4.083
89259,3.21
89260,3.205
89261,1.894
89262,3.598
89263,3.467
89264,4.149
89265,1.652
89266,3.141
89267,3.605
89268,3.641
89269,3.429
89270,3.978
89271,3.682
89272,4.129
89273,4.16
89274,3.515
89275,2.933
89276,3.318
89277,2.186
89278,3.884
89279,2.493
89280,2.993
89281,3.638
89282,3.203
89283,4.383
89284,4.149
89285,3.447
89286,3.727
89287,3.482
89288,3.777
89289,4.254
89290,2.979
89291,3.036
89292,4.442
89293,4.471
89294,3.296
89295,2.951
89296,3.305
89297,3.812
89298,3.53
89299,4.466
89300,4.316
89301,4.01
89302,3.664
89303,2.509
89304,3.336
89305,4.347
89306,3.19
89307,3.627
89308,3.602
89309,4.713
89310,3.387
89311,2.771
89312,3.731
89313,3.582
89314,2.941
89315,3.443
89316,2.266
89317,2.127
89318,2.803
89319,2.56
89320,3.775
89321,3.725
89322,3.58
89323,4.14
89324,3.465
89325,4.326
89326,4.691
89327,3.796
89328,2.997
89329,3.536
89330,2.479
89331,4.32
89332,3.134
89333,3.727
89334,3.684
89335,4.044
89336,1.652
89337,3.139
89338,4.17
89339,2.906
89340,3.29
89341,3.325
89342,3.379
89343,1.999
89344,3.068
89345,3.715
89346,3.851
89347,4.115
89348,3.502
89349,3.728
89350,3.191
89351,2.852
89352,3.782
89353,4.291
89354,2.515
89355,4.06
89356,3.894
89357,4.529
89358,3.373
89359,3.462
89360,3.051
89361,4.137
89362,3.938
89363,3.33
89364,4.06
89365,3.012
89366,3.81
89367,2.67
89368,4.078
89369,3.947
89370,3.492
